ensembl_gene_id_version	ensembl_gene_id	wikigene_description	mgi_symbol	gene_short_name	sc3_gene_filter	sc3_2_markers_clusts	sc3_2_markers_padj	sc3_2_markers_auroc	sc3_3_markers_clusts	sc3_3_markers_padj	sc3_3_markers_auroc	sc3_2_de_padj	sc3_3_de_padj
ENSMUSG00000056158.14	ENSMUSG00000056158	carbonic anhydrase 10	Car10	Car10	TRUE	2	0.00739884740121096	0.887755102040816	3	0.00267940914920474	0.903846153846154	0.00712278607880057	0.017238428510528
ENSMUSG00000057886.5	ENSMUSG00000057886		Cbx3-ps6	Cbx3-ps6	TRUE	2	0.0203915726976454	0.872448979591837	2	1	1	0.0196624850170523	0.123367044390213
ENSMUSG00000058833.11	ENSMUSG00000058833	required for excision 1-B domain containing	Rex1bd	Rex1bd	TRUE	1	7.15694013079332e-05	0.948979591836735	1	3.67247002338453e-05	0.957854406130268	6.84173948803118e-05	0.000240463676448453
ENSMUSG00000059461.7	ENSMUSG00000059461		Gm7331	Gm7331	TRUE	1	0.0126991078851333	0.880102040816326	1	0.00335299732042518	0.900383141762452	0.0122363134560448	0.0150945727840098
ENSMUSG00000068680.1	ENSMUSG00000068680		Gm10248	Gm10248	TRUE	2	0.0146824143633249	0.877551020408163	2	1	0.836363636363636	0.0141500741707029	0.346474075987009
ENSMUSG00000069011.5	ENSMUSG00000069011		Gm10254	Gm10254	TRUE	1	0.0260115653859195	0.86734693877551	1	0.00993857221590556	0.88250319284802	0.0250878216464201	0.0484077403169502
ENSMUSG00000072813.5	ENSMUSG00000072813	RIKEN cDNA E330014E10 gene	E330014E10Rik	E330014E10Rik	TRUE	1	0.00128617983364835	0.913265306122449	1	0.00295201696637431	0.901660280970626	0.0012349565269697	0.0143834545103858
ENSMUSG00000074506.4	ENSMUSG00000074506		Gm10705	Gm10705	TRUE	1	0.0301233741691954	0.866071428571429	1	0.0148980014419288	0.877394636015326	0.0290639055242823	0.0892501245175586
ENSMUSG00000075705.12	ENSMUSG00000075705	methionine sulfoxide reductase B1	Msrb1	Msrb1	TRUE	1	0.001754816501236	0.909438775510204	1	0.00281512877892328	0.9029374201788	0.0016858043173138	0.0163523376134113
ENSMUSG00000082935.3	ENSMUSG00000082935		Gm7658	Gm7658	TRUE	1	0.000154129505526003	0.942602040816326	1	0.000108074634449295	0.947637292464879	0.000147554180660205	0.000602278832337062
ENSMUSG00000083220.1	ENSMUSG00000083220		Gm12919	Gm12919	TRUE	1	0.0482216247051452	0.859056122448979	1	0.00495049848289337	0.89463601532567	0.0465641244630137	0.0306575321851836
ENSMUSG00000086193.1	ENSMUSG00000086193		Gm11508	Gm11508	TRUE	1	0.034860577387265	0.858418367346939	1	0.04223220149716	0.855683269476373	0.0336224154084526	0.211303848796879
ENSMUSG00000087512.2	ENSMUSG00000087512		Ccdc201	Ccdc201	TRUE	2	0.0273364510539126	0.866071428571429	2	1	0.981818181818182	0.0263663388887094	0.49901115415185
ENSMUSG00000087640.1	ENSMUSG00000087640		Gm14798	Gm14798	TRUE	1	0.0207991952086373	0.872448979591837	1	0.103667581437909	0.846743295019157	0.0200568728886497	0.297312436813689
ENSMUSG00000087701.4	ENSMUSG00000087701		Gm13493	Gm13493	TRUE	1	0.0203915726976454	0.872448979591837	1	0.0077465620968119	0.887611749680715	0.0196624850170523	0.0349829326873979
ENSMUSG00000094204.1	ENSMUSG00000094204		Gm21915	Gm21915	TRUE	1	0.0161319273667433	0.876275510204082	1	0.0249929630191025	0.869731800766284	0.0155496527120877	0.139289158618807
ENSMUSG00000097229.1	ENSMUSG00000097229		Platr23	Platr23	TRUE	1	0.00442542115674218	0.895408163265306	1	0.00110722618373638	0.915708812260536	0.00425696577247262	0.00566718359784593
ENSMUSG00000098404.1	ENSMUSG00000098404		Mrip-ps	Mrip-ps	TRUE	1	0.00333963328110696	0.899234693877551	1	0.0229697336701977	0.87037037037037	0.00321103848452592	0.0663413699152662
ENSMUSG00000104366.1	ENSMUSG00000104366		4933409D19Rik	4933409D19Rik	TRUE	1	0.0192874848293357	0.872448979591837	2	1	0.727272727272727	0.0185944357573255	0.12643376620262
ENSMUSG00000105547.1	ENSMUSG00000105547		Iglc3	Iglc3	TRUE	2	0.00835686712978351	0.886479591836735	3	0.0110061057574501	0.883333333333333	0.00804707626614126	0.0674808223817039
ENSMUSG00000106913.1	ENSMUSG00000106913		9430007M09Rik	9430007M09Rik	TRUE	1	0.0230799343307291	0.866709183673469	1	0.00949461954038056	0.88058748403576	0.0222497567730167	0.0498504302483651
ENSMUSG00000107213.1	ENSMUSG00000107213		Gm3302	Gm3302	TRUE	2	0.030568363331489	0.864795918367347	3	0.0036776649662701	0.898076923076923	0.0294905594141956	0.0179413915533784
ENSMUSG00000107962.1	ENSMUSG00000107962		Gm43980	Gm43980	TRUE	1	0.00759879257472869	0.857142857142857	1	0.00373015202036174	0.867177522349936	0.00728928782017152	0.0233623436562805
